2025-12-13 23:51:41.760 | INFO     | src.entities.goose:attack:53 - [WarGoose] Биба attacks Олег for 14 damage
2025-12-13 23:51:41.760 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (14) from balance of Олег. Current balance: 1690
2025-12-13 23:51:41.760 | INFO     | src.simulation.casino:add_chip_to_balance:58 - Added Chip(14) to balance of Биба (Goose)
2025-12-13 23:51:41.760 | INFO     | src.simulation.casino:_event_player_panic:334 - [PANIC] Олег lost half of his money: 845
2025-12-13 23:51:41.760 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (845) from balance of Олег. Current balance: 845
2025-12-13 23:51:41.761 | INFO     | src.entities.goose:honk:20 - [Goose] Боба honks, honk_volume=20
2025-12-13 23:51:41.761 | INFO     | src.entities.goose:__call__:66 - [HonkGoose] Боба called
2025-12-13 23:51:41.761 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (100) from balance of Олег. Current balance: 745
2025-12-13 23:51:41.761 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (100) from balance of Кира. Current balance: 9459
2025-12-13 23:51:41.761 | INFO     | src.simulation.casino:add_chip_to_balance:58 - Added Chip(200) to balance of Боба (Goose)
2025-12-13 23:51:41.762 | INFO     | src.simulation.casino:_event_honkgoose_honk:293 - [MEGA-HONK] HonkGoose honked and stole 200 from each player
2025-12-13 23:51:41.762 | INFO     | src.simulation.casino:_event_player_panic:334 - [PANIC] Олег lost half of his money: 372
2025-12-13 23:51:41.762 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (372) from balance of Олег. Current balance: 373
2025-12-13 23:51:41.762 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (44) from balance of Олег. Current balance: 329
2025-12-13 23:51:41.763 | INFO     | src.simulation.casino:add_chip_to_balance:58 - Added Chip(53.730374267818625) to balance of Олег
2025-12-13 23:51:41.763 | INFO     | src.simulation.casino:bet:200 - [WIN] Player Олег won 53
2025-12-13 23:51:41.763 | INFO     | src.entities.goose:honk:20 - [Goose] Боба honks, honk_volume=22
2025-12-13 23:51:41.763 | INFO     | src.entities.goose:__call__:66 - [HonkGoose] Боба called
2025-12-13 23:51:41.763 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (110) from balance of Олег. Current balance: 272
2025-12-13 23:51:41.763 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (110) from balance of Кира. Current balance: 9349
2025-12-13 23:51:41.764 | INFO     | src.simulation.casino:add_chip_to_balance:58 - Added Chip(220) to balance of Боба (Goose)
2025-12-13 23:51:41.764 | INFO     | src.simulation.casino:_event_honkgoose_honk:293 - [MEGA-HONK] HonkGoose honked and stole 220 from each player
2025-12-13 23:51:41.764 | INFO     | src.simulation.casino:_event_player_panic:334 - [PANIC] Олег lost half of his money: 136
2025-12-13 23:51:41.764 | INFO     | src.simulation.casino:remove_chip_from_balance:106 - Removed Chips for amount (136) from balance of Олег. Current balance: 136
2025-12-13 23:51:41.765 | INFO     | src.entities.goose:__add__:41 - [Goose] Flock formed: Боба-Буба-Буба-Буба-Биба-Боба-Буба-Буба-Боба-Буба-Буба-Биба (hp=870), honk_volume=46
2025-12-13 23:51:41.765 | INFO     | src.simulation.casino:register_goose:136 - Registered goose, name=Боба-Буба-Буба-Буба-Биба-Боба-Буба-Буба-Боба-Буба-Буба-Биба
2025-12-13 23:51:41.768 | INFO     | src.simulation.casino:steal_from_player:153 - Goose Буба-Биба-Боба-Буба-Буба-Боба-Буба-Буба trying to steal 20 from player Олег
